Division,Date,Time,Home_Team,Away_Team,Year,Full_Time_Home_Goals,Full_Time_Away_Goals,Full_Time_Result,Half_Time_Home_Goals,Half_Time_Away_Goals,Half_Time_Result,Referee,Home_Team_Shots,Away_Team_Shots,Home_Team_Shots_On_Target,Away_Team_Shots_On_Target,Home_Team_Fouls_Commited,Away_Team_Fouls_Commited,Home_Team_Corners,Away_Team_Corners,Home_Team_Yellow_Cards,Away_Team_Yellow_Cards,Home_Team_Red_Cards,Away_Team_Red_Cards,Winner,Result,Total_Goals_Scored,Goal_Difference_Home_Team,Goal_Difference_Away_Team,Unique_Key
E0,21/08/2023,20:00,Crystal Palace,Arsenal,23-24,0.0,1.0,AWAY,0.0,0.0,D,D Coote,14.0,14.0,2.0,3.0,14.0,10.0,1.0,8.0,2.0,1.0,0.0,1.0,Arsenal,Away Team Win,1.0,-1.0,1.0,E0-21/08/2023-20:00-Crystal Palace-Arsenal
E0,25/08/2023,20:00,Chelsea,Luton,23-24,3.0,0.0,HOME,1.0,0.0,H,R Jones,19.0,11.0,8.0,1.0,15.0,12.0,6.0,4.0,2.0,3.0,0.0,0.0,Chelsea,Home Team Win,3.0,3.0,-3.0,E0-25/08/2023-20:00-Chelsea-Luton
E0,26/08/2023,12:30,Bournemouth,Tottenham,23-24,0.0,2.0,AWAY,0.0,1.0,A,T Robinson,11.0,17.0,3.0,6.0,18.0,11.0,6.0,2.0,1.0,3.0,0.0,0.0,Tottenham,Away Team Win,2.0,-2.0,2.0,E0-26/08/2023-12:30-Bournemouth-Tottenham
E0,26/08/2023,15:00,Arsenal,Fulham,23-24,2.0,2.0,DRAW,0.0,1.0,A,P Tierney,19.0,8.0,11.0,3.0,6.0,5.0,8.0,3.0,0.0,3.0,0.0,1.0,Draw,Draw,4.0,0.0,0.0,E0-26/08/2023-15:00-Arsenal-Fulham
E0,26/08/2023,15:00,Brentford,Crystal Palace,23-24,1.0,1.0,DRAW,1.0,0.0,H,P Bankes,12.0,15.0,1.0,5.0,9.0,15.0,8.0,6.0,0.0,0.0,0.0,0.0,Draw,Draw,2.0,0.0,0.0,E0-26/08/2023-15:00-Brentford-Crystal Palace
E0,26/08/2023,15:00,Everton,Wolves,23-24,0.0,1.0,AWAY,0.0,0.0,D,C Pawson,15.0,11.0,7.0,2.0,10.0,14.0,7.0,0.0,3.0,4.0,0.0,0.0,Wolves,Away Team Win,1.0,-1.0,1.0,E0-26/08/2023-15:00-Everton-Wolves
E0,26/08/2023,15:00,Man United,Nott'm Forest,23-24,3.0,2.0,HOME,1.0,2.0,A,S Attwell,18.0,9.0,9.0,4.0,13.0,11.0,11.0,3.0,4.0,4.0,0.0,1.0,Man United,Home Team Win,5.0,1.0,-1.0,E0-26/08/2023-15:00-Man United-Nott'm Forest
E0,26/08/2023,17:30,Brighton,West Ham,23-24,1.0,3.0,AWAY,0.0,1.0,A,A Taylor,25.0,12.0,10.0,3.0,10.0,9.0,17.0,4.0,1.0,3.0,0.0,0.0,West Ham,Away Team Win,4.0,-2.0,2.0,E0-26/08/2023-17:30-Brighton-West Ham
E0,27/08/2023,14:00,Burnley,Aston Villa,23-24,1.0,3.0,AWAY,0.0,2.0,A,M Salisbury,9.0,16.0,2.0,6.0,12.0,11.0,4.0,6.0,2.0,0.0,0.0,0.0,Aston Villa,Away Team Win,4.0,-2.0,2.0,E0-27/08/2023-14:00-Burnley-Aston Villa
E0,27/08/2023,14:00,Sheffield United,Man City,23-24,1.0,2.0,AWAY,0.0,0.0,D,J Gillett,6.0,30.0,2.0,9.0,11.0,2.0,1.0,12.0,3.0,0.0,0.0,0.0,Man City,Away Team Win,3.0,-1.0,1.0,E0-27/08/2023-14:00-Sheffield United-Man City
E0,27/08/2023,16:30,Newcastle,Liverpool,23-24,1.0,2.0,AWAY,1.0,0.0,H,J Brooks,23.0,9.0,8.0,4.0,16.0,10.0,5.0,9.0,1.0,2.0,0.0,1.0,Liverpool,Away Team Win,3.0,-1.0,1.0,E0-27/08/2023-16:30-Newcastle-Liverpool
E0,01/09/2023,20:00,Luton,West Ham,23-24,1.0,2.0,AWAY,0.0,1.0,A,P Tierney,16.0,9.0,1.0,3.0,8.0,13.0,9.0,6.0,1.0,1.0,0.0,0.0,West Ham,Away Team Win,3.0,-1.0,1.0,E0-01/09/2023-20:00-Luton-West Ham
E0,02/09/2023,12:30,Sheffield United,Everton,23-24,2.0,2.0,DRAW,2.0,1.0,H,A Madley,13.0,16.0,8.0,6.0,11.0,13.0,4.0,6.0,1.0,2.0,0.0,0.0,Draw,Draw,4.0,0.0,0.0,E0-02/09/2023-12:30-Sheffield United-Everton
E0,02/09/2023,15:00,Brentford,Bournemouth,23-24,2.0,2.0,DRAW,1.0,1.0,D,R Madley,21.0,12.0,7.0,5.0,6.0,13.0,5.0,2.0,1.0,2.0,0.0,0.0,Draw,Draw,4.0,0.0,0.0,E0-02/09/2023-15:00-Brentford-Bournemouth
